dataset,interaction_id,claude,gemini,gpt,judge_mean
cactus,cactus_104,3.1,3.0,3.2,3.1
cactus,cactus_105,3.6,4.2,3.8,3.866666666666667
cactus,cactus_106,3.5,3.8,3.75,3.6833333333333336
cactus,cactus_107,3.3,3.2,3.55,3.35
cactus,cactus_108,3.55,3.2,3.9,3.5500000000000003
cactus,cactus_109,3.35,3.5,3.55,3.4666666666666663
cactus,cactus_11,3.2,2.6,3.3,3.0333333333333337
cactus,cactus_110,3.75,3.1,3.8,3.5499999999999994
cactus,cactus_111,3.0,3.5,3.7,3.4
cactus,cactus_112,3.0,2.4,3.4,2.9333333333333336
cactus,cactus_113,3.15,2.9,3.7,3.25
cactus,cactus_114,3.1,3.0,3.55,3.2166666666666663
cactus,cactus_115,2.8,3.0,3.7,3.1666666666666665
cactus,cactus_116,3.1,4.4,3.75,3.75
cactus,cactus_117,3.3,3.2,3.55,3.35
cactus,cactus_118,2.9,3.6,3.85,3.4499999999999997
cactus,cactus_119,3.1,3.1,3.4,3.1999999999999997
cactus,cactus_12,3.2,2.7,3.6,3.1666666666666665
cactus,cactus_120,3.5,4.1,3.75,3.783333333333333
cactus,cactus_121,3.6,4.9,3.8,4.1000000000000005
cactus,cactus_122,3.7,2.9,3.6,3.4
cactus,cactus_123,2.9,2.8,3.25,2.983333333333333
cactus,cactus_124,3.45,3.3,3.55,3.4333333333333336
cactus,cactus_125,3.3,3.5,3.45,3.4166666666666665
cactus,cactus_126,3.1,3.5,3.4,3.3333333333333335
cactus,cactus_127,3.15,3.1,3.45,3.233333333333333
cactus,cactus_128,3.1,3.4,3.45,3.3166666666666664
cactus,cactus_129,3.4,2.4,2.8,2.8666666666666667
cactus,cactus_13,3.5,3.7,3.7,3.6333333333333333
cactus,cactus_130,3.3,3.5,3.35,3.3833333333333333
cactus,cactus_131,3.55,3.5,3.5,3.516666666666667
cactus,cactus_132,3.25,3.0,3.5,3.25
cactus,cactus_133,3.6,3.1,3.55,3.4166666666666665
cactus,cactus_134,3.45,3.8,3.6,3.6166666666666667
cactus,cactus_135,2.8,2.7,3.5,3.0
cactus,cactus_136,2.9,2.7,3.7,3.1
cactus,cactus_137,3.3,3.1,3.75,3.3833333333333333
cactus,cactus_138,3.0,2.8,3.4,3.0666666666666664
cactus,cactus_139,3.1,2.9,3.35,3.1166666666666667
cactus,cactus_14,3.6,3.7,3.65,3.6500000000000004
cactus,cactus_140,3.5,3.7,3.85,3.6833333333333336
cactus,cactus_141,3.5,3.8,3.55,3.6166666666666667
cactus,cactus_142,3.45,4.2,3.75,3.8000000000000003
cactus,cactus_143,3.2,3.1,3.45,3.25
cactus,cactus_144,3.4,4.1,3.8,3.766666666666667
cactus,cactus_145,3.45,3.7,3.9,3.6833333333333336
cactus,cactus_146,3.3,4.2,3.95,3.8166666666666664
cactus,cactus_147,3.45,3.2,3.75,3.466666666666667
cactus,cactus_148,3.0,3.1,3.5,3.1999999999999997
cactus,cactus_149,2.8,2.9,3.25,2.983333333333333
cactus,cactus_15,3.2,2.9,3.6,3.233333333333333
cactus,cactus_150,3.2,3.5,3.65,3.4499999999999997
cactus,cactus_151,3.1,3.4,3.6,3.3666666666666667
cactus,cactus_152,3.3,3.2,3.6,3.3666666666666667
cactus,cactus_153,3.3,3.2,3.65,3.3833333333333333
cactus,cactus_154,3.0,3.3,3.7,3.3333333333333335
cactus,cactus_155,3.1,3.4,3.7,3.4
cactus,cactus_156,3.25,3.9,3.3,3.483333333333333
cactus,cactus_157,3.15,3.9,3.8,3.6166666666666667
cactus,cactus_158,3.2,2.8,3.45,3.15
cactus,cactus_159,3.3,2.3,3.5,3.033333333333333
cactus,cactus_16,3.0,3.1,3.3,3.133333333333333
cactus,cactus_160,3.1,4.2,3.65,3.6500000000000004
cactus,cactus_161,3.2,3.6,3.4,3.4000000000000004
cactus,cactus_162,3.0,3.8,3.5,3.4333333333333336
cactus,cactus_163,3.15,4.1,3.85,3.6999999999999997
cactus,cactus_164,3.45,3.2,3.65,3.4333333333333336
cactus,cactus_165,3.45,4.5,3.7,3.8833333333333333
cactus,cactus_166,3.1,3.6,3.55,3.4166666666666665
cactus,cactus_167,3.55,3.4,3.7,3.5499999999999994
cactus,cactus_168,3.45,3.2,3.65,3.4333333333333336
cactus,cactus_169,3.2,3.3,3.6,3.3666666666666667
cactus,cactus_17,3.6,3.0,3.8,3.4666666666666663
cactus,cactus_170,3.6,3.5,3.7,3.6
cactus,cactus_171,3.5,3.9,3.8,3.733333333333333
cactus,cactus_172,3.1,2.8,3.45,3.116666666666667
cactus,cactus_173,3.6,3.7,3.5,3.6
cactus,cactus_174,3.3,3.6,3.55,3.483333333333333
cactus,cactus_175,3.45,3.6,3.7,3.5833333333333335
cactus,cactus_176,3.7,3.3,3.7,3.5666666666666664
cactus,cactus_177,3.25,3.6,3.6,3.483333333333333
cactus,cactus_178,3.1,3.0,3.5,3.1999999999999997
cactus,cactus_179,2.8,2.7,3.45,2.983333333333333
cactus,cactus_18,3.3,3.2,3.8,3.4333333333333336
cactus,cactus_180,2.7,3.0,3.35,3.016666666666667
cactus,cactus_181,2.85,2.9,3.35,3.033333333333333
cactus,cactus_182,3.3,3.6,3.7,3.5333333333333337
cactus,cactus_183,3.6,4.1,3.65,3.783333333333333
cactus,cactus_184,3.05,2.8,3.4,3.0833333333333335
cactus,cactus_185,2.8,2.6,3.1,2.8333333333333335
cactus,cactus_186,2.5,2.0,3.25,2.5833333333333335
cactus,cactus_187,3.7,3.5,3.4,3.533333333333333
cactus,cactus_188,3.55,3.7,3.65,3.6333333333333333
cactus,cactus_189,2.9,2.6,3.5,3.0
cactus,cactus_19,2.7,2.4,3.5,2.8666666666666667
cactus,cactus_190,3.2,3.3,3.45,3.3166666666666664
cactus,cactus_191,2.9,3.2,3.55,3.2166666666666663
cactus,cactus_192,3.55,3.1,3.75,3.466666666666667
cactus,cactus_193,2.9,2.3,3.1,2.766666666666666
cactus,cactus_194,3.15,2.9,3.65,3.233333333333333
cactus,cactus_195,2.7,3.5,3.45,3.216666666666667
cactus,cactus_196,3.55,3.4,3.85,3.5999999999999996
cactus,cactus_197,3.55,3.7,3.75,3.6666666666666665
cactus,cactus_198,3.45,3.2,3.45,3.366666666666667
cactus,cactus_199,3.9,3.9,3.75,3.85
cactus,cactus_2,3.2,3.9,3.4,3.5
cactus,cactus_20,3.5,4.1,3.6,3.733333333333333
cactus,cactus_21,3.25,2.5,3.3,3.016666666666667
cactus,cactus_22,3.0,2.8,3.4,3.0666666666666664
cactus,cactus_23,3.1,3.2,3.5,3.266666666666667
cactus,cactus_24,3.65,3.7,3.65,3.6666666666666665
cactus,cactus_25,3.45,3.8,3.7,3.65
cactus,cactus_26,3.5,3.4,3.45,3.4500000000000006
cactus,cactus_27,3.5,3.3,3.65,3.483333333333333
cactus,cactus_28,3.45,3.7,3.9,3.6833333333333336
cactus,cactus_29,3.8,3.7,3.65,3.716666666666667
cactus,cactus_3,3.0,3.3,3.3,3.1999999999999997
cactus,cactus_30,2.95,2.6,3.4,2.983333333333334
cactus,cactus_31,2.7,2.8,3.35,2.9499999999999997
cactus,cactus_32,3.25,3.0,3.45,3.233333333333333
cactus,cactus_33,3.35,3.6,3.8,3.5833333333333335
cactus,cactus_34,3.7,4.0,3.5,3.733333333333333
cactus,cactus_35,3.55,3.2,3.75,3.5
cactus,cactus_36,3.55,2.9,3.45,3.2999999999999994
cactus,cactus_37,3.25,3.2,3.6,3.35
cactus,cactus_38,3.55,3.2,3.55,3.4333333333333336
cactus,cactus_39,3.15,3.1,3.45,3.233333333333333
cactus,cactus_4,3.45,3.8,3.3,3.516666666666667
cactus,cactus_40,3.55,3.7,3.75,3.6666666666666665
cactus,cactus_41,3.1,2.7,3.5,3.1
cactus,cactus_42,3.0,4.0,3.35,3.4499999999999997
cactus,cactus_43,3.25,2.9,3.7,3.2833333333333337
cactus,cactus_44,3.35,2.7,3.55,3.2000000000000006
cactus,cactus_45,2.5,1.7,3.25,2.4833333333333334
cactus,cactus_46,3.55,3.3,3.7,3.516666666666667
cactus,cactus_47,2.6,2.8,3.4,2.9333333333333336
cactus,cactus_48,2.8,2.9,3.65,3.1166666666666667
cactus,cactus_49,3.7,4.0,3.9,3.8666666666666667
cactus,cactus_5,3.4,3.2,3.3,3.2999999999999994
cactus,cactus_50,3.55,3.6,3.7,3.616666666666667
cactus,cactus_51,3.45,4.2,3.7,3.7833333333333337
cactus,cactus_52,3.65,3.1,3.65,3.466666666666667
cactus,cactus_53,3.0,3.9,3.5,3.466666666666667
cactus,cactus_54,3.5,3.0,3.7,3.4
cactus,cactus_55,3.65,4.2,3.6,3.8166666666666664
cactus,cactus_56,3.85,3.5,3.7,3.6833333333333336
cactus,cactus_57,3.1,2.9,3.45,3.15
cactus,cactus_58,3.05,4.0,3.65,3.5666666666666664
cactus,cactus_59,3.15,2.8,3.6,3.183333333333333
cactus,cactus_6,3.1,2.5,3.3,2.9666666666666663
cactus,cactus_60,3.4,3.1,3.65,3.3833333333333333
cactus,cactus_61,3.45,3.9,3.75,3.6999999999999997
cactus,cactus_62,3.1,3.4,3.5,3.3333333333333335
cactus,cactus_63,2.95,2.7,3.4,3.016666666666667
cactus,cactus_64,3.1,3.2,3.55,3.2833333333333337
cactus,cactus_65,2.9,2.4,3.6,2.966666666666667
cactus,cactus_66,2.9,2.3,3.35,2.8499999999999996
cactus,cactus_67,3.2,3.2,3.45,3.2833333333333337
cactus,cactus_68,3.7,4.2,3.8,3.9
cactus,cactus_69,3.6,3.2,3.6,3.466666666666667
cactus,cactus_7,3.2,2.8,3.3,3.1
cactus,cactus_70,3.3,3.2,3.65,3.3833333333333333
cactus,cactus_71,3.1,3.3,3.55,3.3166666666666664
cactus,cactus_72,3.2,3.6,3.5,3.4333333333333336
cactus,cactus_73,3.2,3.4,3.55,3.383333333333333
cactus,cactus_74,3.1,3.3,3.65,3.35
cactus,cactus_75,3.55,3.8,3.65,3.6666666666666665
cactus,cactus_76,3.15,3.6,3.35,3.3666666666666667
cactus,cactus_77,3.45,3.6,3.45,3.5
cactus,cactus_78,3.4,2.8,3.55,3.25
cactus,cactus_79,3.0,3.4,3.45,3.2833333333333337
cactus,cactus_8,3.1,2.6,3.7,3.1333333333333333
cactus,cactus_80,3.25,2.8,3.55,3.1999999999999997
cactus,cactus_81,3.1,3.5,3.65,3.4166666666666665
cactus,cactus_82,3.1,3.6,3.45,3.3833333333333333
cactus,cactus_83,3.2,3.5,3.45,3.3833333333333333
cactus,cactus_84,3.4,5.0,3.65,4.016666666666667
cactus,cactus_85,3.3,3.5,3.35,3.3833333333333333
cactus,cactus_86,3.4,3.2,3.5,3.3666666666666667
cactus,cactus_87,3.05,3.1,3.4,3.1833333333333336
cactus,cactus_88,3.3,3.6,3.8,3.5666666666666664
cactus,cactus_89,3.55,3.1,3.65,3.4333333333333336
cactus,cactus_9,3.4,3.2,3.6,3.4
cactus,cactus_90,2.95,2.5,3.25,2.9
cactus,cactus_91,3.05,3.3,3.6,3.3166666666666664
cactus,cactus_92,3.4,2.4,3.55,3.1166666666666667
cactus,cactus_93,3.45,3.9,3.6,3.65
cactus,cactus_94,3.3,3.7,3.35,3.4499999999999997
cactus,cactus_95,3.05,3.0,3.7,3.25
cactus,cactus_96,2.8,3.2,3.3,3.1
cactus,cactus_97,3.4,3.5,3.5,3.466666666666667
cactus,cactus_98,3.4,3.2,3.65,3.4166666666666665
cactus,cactus_99,3.4,4.0,3.45,3.616666666666667
cpsycoun,cpscycoun_career_1_02,2.9,2.5,3.4,2.9333333333333336
cpsycoun,cpscycoun_career_1_04,2.1,2.2,2.9,2.4000000000000004
cpsycoun,cpscycoun_career_1_06,2.3,2.1,3.1,2.5
cpsycoun,cpscycoun_career_1_08,2.2,2.3,2.85,2.4499999999999997
cpsycoun,cpscycoun_career_1_10,2.2,1.9,3.1,2.4
cpsycoun,cpscycoun_career_2_02,2.6,2.2,3.0,2.6
cpsycoun,cpscycoun_career_2_04,2.3,2.1,2.8,2.4
cpsycoun,cpscycoun_career_2_06,2.2,2.1,2.8,2.3666666666666667
cpsycoun,cpscycoun_career_2_10,2.2,1.9,2.8,2.3
cpsycoun,cpscycoun_career_3_02,2.5,2.6,3.2,2.766666666666667
cpsycoun,cpscycoun_career_3_04,2.8,2.1,3.1,2.6666666666666665
cpsycoun,cpscycoun_career_3_06,2.6,2.6,3.1,2.766666666666667
cpsycoun,cpscycoun_career_3_08,2.6,1.7,3.2,2.5
cpsycoun,cpscycoun_career_3_10,2.0,1.6,3.15,2.25
cpsycoun,cpscycoun_career_4_02,2.6,2.8,3.2,2.866666666666667
cpsycoun,cpscycoun_career_4_04,2.2,2.8,3.0,2.6666666666666665
cpsycoun,cpscycoun_career_4_06,2.2,2.2,2.6,2.3333333333333335
cpsycoun,cpscycoun_career_4_08,2.3,2.6,3.2,2.7000000000000006
cpsycoun,cpscycoun_career_5_02,3.1,3.0,3.5,3.1999999999999997
cpsycoun,cpscycoun_career_5_04,2.9,2.2,3.1,2.733333333333333
cpsycoun,cpscycoun_career_5_06,2.9,2.8,3.45,3.0499999999999994
cpsycoun,cpscycoun_career_5_08,2.8,1.8,2.8,2.4666666666666663
cpsycoun,cpscycoun_career_5_10,2.6,2.4,3.1,2.6999999999999997
cpsycoun,cpscycoun_education_1_02,2.2,1.6,2.8,2.1999999999999997
cpsycoun,cpscycoun_education_1_04,2.4,1.9,3.05,2.4499999999999997
cpsycoun,cpscycoun_education_1_06,2.2,1.6,3.05,2.283333333333333
cpsycoun,cpscycoun_education_1_08,2.1,2.0,3.0,2.3666666666666667
cpsycoun,cpscycoun_education_1_10,2.1,1.5,3.05,2.216666666666667
cpsycoun,cpscycoun_education_2_02,2.3,2.3,2.8,2.4666666666666663
cpsycoun,cpscycoun_education_2_04,2.4,2.1,3.2,2.566666666666667
cpsycoun,cpscycoun_education_2_06,2.6,1.9,3.15,2.5500000000000003
cpsycoun,cpscycoun_education_2_10,2.7,2.6,3.3,2.866666666666667
cpsycoun,cpscycoun_education_3_02,2.6,2.9,3.2,2.9
cpsycoun,cpscycoun_education_3_04,2.2,2.2,3.15,2.516666666666667
cpsycoun,cpscycoun_education_3_06,2.2,2.0,2.95,2.3833333333333333
cpsycoun,cpscycoun_education_3_08,2.2,1.8,2.7,2.2333333333333334
cpsycoun,cpscycoun_education_3_10,2.1,1.8,2.85,2.25
cpsycoun,cpscycoun_education_4_02,2.3,1.9,3.2,2.4666666666666663
cpsycoun,cpscycoun_education_4_04,2.2,2.2,3.2,2.5333333333333337
cpsycoun,cpscycoun_education_4_06,2.3,2.3,3.15,2.5833333333333335
cpsycoun,cpscycoun_education_4_08,2.2,2.0,3.15,2.4499999999999997
cpsycoun,cpscycoun_education_5_02,1.2,1.5,2.5,1.7333333333333334
cpsycoun,cpscycoun_education_5_04,2.0,1.7,2.9,2.1999999999999997
cpsycoun,cpscycoun_education_5_06,1.6,1.5,2.9,2.0
cpsycoun,cpscycoun_education_5_08,1.5,1.5,2.8,1.9333333333333333
cpsycoun,cpscycoun_education_5_10,1.8,1.4,2.7,1.9666666666666668
cpsycoun,cpscycoun_emotion_stress_1_02,2.5,2.0,2.6,2.3666666666666667
cpsycoun,cpscycoun_emotion_stress_1_04,2.2,2.0,2.8,2.3333333333333335
cpsycoun,cpscycoun_emotion_stress_1_06,2.2,2.1,2.85,2.3833333333333333
cpsycoun,cpscycoun_emotion_stress_1_08,2.3,2.2,2.65,2.3833333333333333
cpsycoun,cpscycoun_emotion_stress_1_10,2.1,1.8,2.8,2.2333333333333334
cpsycoun,cpscycoun_emotion_stress_2_02,2.0,1.7,2.6,2.1
cpsycoun,cpscycoun_emotion_stress_2_04,2.2,1.5,2.5,2.066666666666667
cpsycoun,cpscycoun_emotion_stress_2_08,2.1,2.0,2.75,2.283333333333333
cpsycoun,cpscycoun_emotion_stress_2_10,2.1,2.4,2.85,2.4499999999999997
cpsycoun,cpscycoun_emotion_stress_3_02,2.8,2.8,3.25,2.9499999999999997
cpsycoun,cpscycoun_emotion_stress_3_04,2.2,2.0,2.95,2.3833333333333333
cpsycoun,cpscycoun_emotion_stress_3_06,2.2,2.4,2.9,2.5
cpsycoun,cpscycoun_emotion_stress_3_10,2.2,2.7,2.85,2.5833333333333335
cpsycoun,cpscycoun_emotion_stress_4_02,1.9,1.9,2.5,2.1
cpsycoun,cpscycoun_emotion_stress_4_04,2.4,2.0,2.9,2.4333333333333336
cpsycoun,cpscycoun_emotion_stress_4_06,2.2,1.9,2.8,2.3
cpsycoun,cpscycoun_emotion_stress_4_08,2.5,1.8,3.0,2.433333333333333
cpsycoun,cpscycoun_emotion_stress_4_10,2.2,1.8,2.7,2.2333333333333334
cpsycoun,cpscycoun_emotion_stress_5_02,1.8,1.7,2.7,2.066666666666667
cpsycoun,cpscycoun_emotion_stress_5_04,2.2,1.8,2.7,2.2333333333333334
cpsycoun,cpscycoun_emotion_stress_5_06,2.2,2.2,2.8,2.4
cpsycoun,cpscycoun_emotion_stress_5_10,2.2,1.6,2.8,2.1999999999999997
cpsycoun,cpscycoun_family_relationship_1_02,2.8,2.7,3.1,2.8666666666666667
cpsycoun,cpscycoun_family_relationship_1_04,2.7,3.2,3.4,3.1
cpsycoun,cpscycoun_family_relationship_1_06,3.0,2.7,3.25,2.983333333333333
cpsycoun,cpscycoun_family_relationship_1_08,3.0,3.1,3.4,3.1666666666666665
cpsycoun,cpscycoun_family_relationship_1_10,2.9,2.3,2.6,2.5999999999999996
cpsycoun,cpscycoun_family_relationship_2_02,1.4,1.0,1.7,1.3666666666666665
cpsycoun,cpscycoun_family_relationship_2_04,1.4,1.2,1.9,1.5
cpsycoun,cpscycoun_family_relationship_2_08,1.4,1.0,1.9,1.4333333333333333
cpsycoun,cpscycoun_family_relationship_2_10,1.4,1.0,1.8,1.4000000000000001
cpsycoun,cpscycoun_family_relationship_3_02,1.4,1.0,1.5,1.3
cpsycoun,cpscycoun_family_relationship_3_04,1.4,1.0,1.8,1.4000000000000001
cpsycoun,cpscycoun_family_relationship_3_06,1.4,1.0,1.9,1.4333333333333333
cpsycoun,cpscycoun_family_relationship_3_10,1.4,1.2,2.0,1.5333333333333332
cpsycoun,cpscycoun_family_relationship_4_02,1.4,1.0,2.2,1.5333333333333332
cpsycoun,cpscycoun_family_relationship_4_04,1.8,1.1,1.9,1.6000000000000003
cpsycoun,cpscycoun_family_relationship_4_06,1.4,1.0,2.35,1.5833333333333333
cpsycoun,cpscycoun_family_relationship_4_08,1.4,1.0,2.4,1.5999999999999999
cpsycoun,cpscycoun_family_relationship_4_10,1.7,1.0,2.3,1.6666666666666667
cpsycoun,cpscycoun_family_relationship_5_02,1.8,1.0,1.9,1.5666666666666664
cpsycoun,cpscycoun_family_relationship_5_04,1.7,1.0,2.25,1.6500000000000001
cpsycoun,cpscycoun_family_relationship_5_06,2.0,1.0,2.3,1.7666666666666666
cpsycoun,cpscycoun_family_relationship_5_10,2.3,1.3,2.4,2.0
cpsycoun,cpscycoun_love_marriage_1_02,2.0,1.8,2.6,2.1333333333333333
cpsycoun,cpscycoun_love_marriage_1_04,2.2,2.0,3.0,2.4
cpsycoun,cpscycoun_love_marriage_1_06,2.7,2.0,3.05,2.5833333333333335
cpsycoun,cpscycoun_love_marriage_1_08,2.3,1.8,3.15,2.4166666666666665
cpsycoun,cpscycoun_love_marriage_1_10,2.7,2.0,2.85,2.516666666666667
cpsycoun,cpscycoun_love_marriage_2_02,2.2,1.2,2.6,2.0
cpsycoun,cpscycoun_love_marriage_2_04,2.5,1.1,2.45,2.016666666666667
cpsycoun,cpscycoun_love_marriage_2_08,2.6,1.5,2.8,2.3
cpsycoun,cpscycoun_love_marriage_2_10,2.3,1.9,2.4,2.1999999999999997
cpsycoun,cpscycoun_love_marriage_3_02,2.4,3.2,3.25,2.9499999999999997
cpsycoun,cpscycoun_love_marriage_3_04,2.4,1.7,3.05,2.3833333333333333
cpsycoun,cpscycoun_love_marriage_3_06,1.6,1.1,2.05,1.5833333333333333
cpsycoun,cpscycoun_love_marriage_3_10,1.6,1.1,2.0,1.5666666666666667
cpsycoun,cpscycoun_love_marriage_4_02,1.7,1.0,2.1,1.6000000000000003
cpsycoun,cpscycoun_love_marriage_4_04,2.0,1.4,2.95,2.1166666666666667
cpsycoun,cpscycoun_love_marriage_4_06,1.7,1.5,2.3,1.8333333333333333
cpsycoun,cpscycoun_love_marriage_4_08,2.2,1.4,2.3,1.9666666666666668
cpsycoun,cpscycoun_love_marriage_4_10,2.0,1.0,2.8,1.9333333333333333
cpsycoun,cpscycoun_love_marriage_5_02,2.4,1.3,2.7,2.1333333333333333
