stage,dataset,config,judge,judge_raw,judge_model,interaction_id,file,overall,average,CAC,EPC,AR,TRA,ACQ
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_50,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.7,3.7,3.5,4.0,3.5,4.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_2,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.2,4.2,4.0,4.0,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_104,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.05,4.05,4.0,4.0,4.0,3.75,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_19,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.7,3.7,3.5,4.0,3.5,4.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_114,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.8,3.8,3.5,4.0,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_110,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.1,3.1,3.0,2.5,3.25,3.25,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_60,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.9,3.9,3.5,4.0,3.5,4.0,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_92,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.6,1.6,2.0,2.0,1.5,1.0,1.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_123,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.1,2.1,2.0,2.0,2.0,1.5,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_31,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.1,4.1,4.0,4.5,4.0,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_29,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.5,3.5,3.0,3.5,3.0,3.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_46,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.25,4.25,4.0,4.5,4.0,3.75,5.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_81,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.0,3.0,3.0,3.0,3.0,3.5,2.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_16,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.4,3.4,3.5,3.0,3.25,3.75,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_22,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.5,3.5,3.0,4.0,3.0,3.5,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_33,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.4,4.4,4.0,4.5,4.0,4.5,5.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_32,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.6,1.6,1.0,2.0,1.0,1.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_90,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.4,1.4,1.0,1.0,1.5,1.0,2.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_94,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.9,2.9,2.5,3.0,2.5,3.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_120,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.2,4.2,4.0,4.0,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_82,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.7,3.7,3.5,4.0,3.5,3.5,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_79,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.75,3.75,3.5,4.0,3.5,3.75,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_87,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.4,4.4,4.0,4.5,4.5,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_18,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.7,3.7,3.5,3.5,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_39,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.8,3.8,4.0,2.0,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_57,AnnoMI_S3_claude_9router_full_judgments.jsonl,1.5,1.5,1.5,2.0,1.5,1.0,1.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_9,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.1,3.1,3.0,3.5,2.5,2.5,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_95,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.9,2.9,2.0,2.5,3.0,3.5,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_14,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_101,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.95,3.95,4.0,3.75,3.75,4.25,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_122,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.8,2.8,2.0,2.5,2.5,3.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_8,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.55,4.55,4.5,4.5,4.5,4.75,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_41,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.65,3.65,3.0,4.0,3.25,3.75,4.25
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_117,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_15,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.3,2.3,2.5,2.5,2.0,1.5,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_37,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.95,3.95,3.5,3.75,3.75,4.25,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_35,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.75,3.75,3.5,4.0,3.25,3.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_111,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.5,4.5,4.5,4.5,4.25,4.75,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_11,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.6,3.6,3.5,4.0,3.5,3.5,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_73,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.8,2.8,2.0,3.0,2.5,3.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_85,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.85,3.85,3.0,3.5,3.75,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_38,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.8,4.8,4.5,5.0,4.5,5.0,5.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_129,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.0,4.0,3.5,4.5,3.5,4.0,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_128,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.2,4.2,4.0,4.5,3.75,4.25,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_107,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.3,2.3,2.0,2.0,2.5,2.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_40,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.6,3.6,3.0,4.0,3.5,3.5,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_78,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.5,4.5,4.0,4.5,4.5,4.5,5.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_96,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.05,4.05,4.0,4.0,3.75,4.25,4.25
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_62,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.0,3.0,2.5,3.5,2.5,3.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_65,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.9,3.9,3.5,4.5,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_30,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.2,2.2,1.5,3.0,1.5,2.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_34,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.1,4.1,4.0,4.0,3.5,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_4,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.5,3.5,2.0,4.0,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_99,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.05,4.05,3.75,4.25,3.75,4.25,4.25
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_47,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.8,2.8,2.0,3.0,2.5,3.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_43,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.9,3.9,3.75,4.25,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_113,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.8,4.8,5.0,4.5,4.5,5.0,5.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_13,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.6,3.6,3.0,3.5,3.5,4.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_88,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.6,3.6,3.5,3.5,3.5,4.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_86,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.4,2.4,2.0,3.5,2.0,2.5,2.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_3,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.9,2.9,2.5,3.5,2.5,3.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_127,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.95,3.95,3.75,4.25,3.5,4.0,4.25
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_1,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_26,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.4,2.4,2.0,3.0,2.0,2.0,3.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_45,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.3,3.3,3.0,3.5,3.0,3.0,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_89,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.35,3.35,3.5,3.5,3.0,3.0,3.75
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_70,AnnoMI_S3_claude_9router_full_judgments.jsonl,2.9,2.9,2.0,3.5,2.5,3.0,3.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_6,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.3,4.3,4.0,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_12,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.6,3.6,3.75,3.75,3.5,3.25,3.75
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_112,AnnoMI_S3_claude_9router_full_judgments.jsonl,3.55,3.55,3.5,3.75,3.0,3.5,4.0
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_67,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.9,4.9,4.5,5.0,4.5,5.0,5.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_80,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.25,4.25,4.0,4.5,3.75,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_0,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.35,4.35,4.25,4.5,4.0,4.5,4.5
full,annomi,S3,claude,claude_9router,openai/ag/claude-sonnet-4-6,annomi_20,AnnoMI_S3_claude_9router_full_judgments.jsonl,4.8,4.8,4.5,5.0,4.5,5.0,5.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_77,AnnoMI_S3_gemini_full_judgments.jsonl,1.8,1.8,1.5,1.0,2.0,2.0,2.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_108,AnnoMI_S3_gemini_full_judgments.jsonl,2.7,2.7,2.5,3.5,2.5,2.5,2.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_25,AnnoMI_S3_gemini_full_judgments.jsonl,5.3,5.3,5.5,5.0,5.0,5.0,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_132,AnnoMI_S3_gemini_full_judgments.jsonl,5.1,5.1,5.0,5.0,5.0,5.0,5.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_103,AnnoMI_S3_gemini_full_judgments.jsonl,4.5,4.5,4.5,5.0,4.5,5.0,3.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_48,AnnoMI_S3_gemini_full_judgments.jsonl,5.2,5.2,5.0,5.0,5.0,5.0,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_42,AnnoMI_S3_gemini_full_judgments.jsonl,5.0,5.0,4.5,5.0,5.0,5.0,5.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_24,AnnoMI_S3_gemini_full_judgments.jsonl,5.6,5.6,5.5,5.5,5.5,5.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_125,AnnoMI_S3_gemini_full_judgments.jsonl,2.2,2.2,2.0,4.0,2.0,2.0,1.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_23,AnnoMI_S3_gemini_full_judgments.jsonl,5.1,5.1,5.0,5.0,5.0,4.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_58,AnnoMI_S3_gemini_full_judgments.jsonl,3.4,3.4,3.5,4.5,3.5,3.5,2.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_119,AnnoMI_S3_gemini_full_judgments.jsonl,5.7,5.7,5.5,5.5,5.5,6.0,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_97,AnnoMI_S3_gemini_full_judgments.jsonl,5.7,5.7,5.5,5.5,5.5,6.0,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_28,AnnoMI_S3_gemini_full_judgments.jsonl,2.8,2.8,3.0,3.0,3.0,3.5,1.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_74,AnnoMI_S3_gemini_full_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_72,AnnoMI_S3_gemini_full_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_102,AnnoMI_S3_gemini_full_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_10,AnnoMI_S3_gemini_full_judgments.jsonl,1.4,1.4,1.0,2.0,1.0,1.0,2.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_106,AnnoMI_S3_gemini_full_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_69,AnnoMI_S3_gemini_full_judgments.jsonl,1.0,1.0,1.0,1.0,1.0,1.0,1.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_59,AnnoMI_S3_gemini_full_judgments.jsonl,1.2,1.2,1.0,1.0,1.0,1.0,2.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_131,AnnoMI_S3_gemini_full_judgments.jsonl,3.3,3.3,5.0,1.5,4.5,4.5,1.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_124,AnnoMI_S3_gemini_full_judgments.jsonl,5.2,5.2,5.0,5.0,5.0,5.0,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_76,AnnoMI_S3_gemini_full_judgments.jsonl,3.1,3.1,3.0,4.5,2.5,3.5,2.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_105,AnnoMI_S3_gemini_full_judgments.jsonl,4.9,4.9,4.5,5.0,4.5,5.0,5.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_63,AnnoMI_S3_gemini_full_judgments.jsonl,5.6,5.6,5.5,5.5,5.5,5.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_93,AnnoMI_S3_gemini_full_judgments.jsonl,5.5,5.5,5.5,5.5,5.0,5.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_51,AnnoMI_S3_gemini_full_judgments.jsonl,5.6,5.6,5.5,5.5,5.5,5.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_52,AnnoMI_S3_gemini_full_judgments.jsonl,3.8,3.8,4.0,4.5,4.0,4.0,2.5
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_61,AnnoMI_S3_gemini_full_judgments.jsonl,5.6,5.6,5.5,5.5,5.5,5.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_83,AnnoMI_S3_gemini_full_judgments.jsonl,5.0,5.0,5.0,5.0,4.5,4.5,6.0
full,annomi,S3,gemini,gemini,openai/ag/gemini-3.1-pro-low,annomi_91,AnnoMI_S3_gemini_full_judgments.jsonl,4.1,4.1,4.5,1.5,4.0,5.0,5.5
